@relation all.2024-05-27_10_14_01.720868


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute NUM0 NUMERIC
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute TERM0 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute QUANTIFIERS1 {ForAll, Exists}
@attribute TERM2 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute TERM3 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute LOGICALS1 {And, Or}
@attribute TERM4 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute TERM5 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute ARITHMETICS0 {+, -, *, /}
@attribute NUM2 NUMERIC
@attribute QUANTIFIERS2 {ForAll, Exists}
@attribute TERM6 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute RELATIONALS4 {<, >, <=, >=}
@attribute TERM7 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute LOGICALS2 {And, Or}
@attribute TERM8 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute RELATIONALS5 {<, >, <=, >=}
@attribute TERM9 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute ARITHMETICS1 {+, -, *, /}
@attribute NUM3 NUMERIC
@attribute TERM10 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute ARITHMETICS2 {+, -, *, /}
@attribute TERM11 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute RELATIONALS6 {<, >, <=, >=}
@attribute NUM4 NUMERIC
@attribute IMP0 {Implies}
@attribute QUANTIFIERS3 {ForAll, Exists}
@attribute TERM12 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute ARITHMETICS3 {+, -, *, /}
@attribute NUM5 NUMERIC
@attribute RELATIONALS7 {<, >, <=, >=}
@attribute TERM13 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute LOGICALS3 {And, Or}
@attribute TERM14 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute RELATIONALS8 {<, >, <=, >=}
@attribute TERM15 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute ARITHMETICS4 {+, -, *, /}
@attribute NUM6 NUMERIC
@attribute TERM16 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute ARITHMETICS5 {+, -, *, /}
@attribute TERM17 {y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)], y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1, t3, t4, t2, y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)]}
@attribute RELATIONALS9 {<, >, <=, >=}
@attribute NUM7 NUMERIC
@attribute VEREDICT {TRUE, FALSE, UNKNOWN}

@data
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.969084,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,7.192439,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.289042,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,8.902583,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.015812,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,10.372775,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.923824,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,7.951105,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.947292,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,8.728696,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.715519,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,10.032135,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.990285,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,9.354904,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.291306,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,10.133164,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.224136,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,8.251420,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.147777,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,7.917536,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.716652,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,8.922297,TRUE
ForAll,0,<=,t4,And,t4,<=,72000000,Exists,t4,<=,t3,And,t3,<=,t4,+,8000000,ForAll,t3,<=,t2,And,t2,<=,t3,+,5000000,y2[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y1[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,10.845248,Implies,ForAll,t2,+,5000000,<=,t1,And,t1,<=,t2,+,20000000,y5[ToInt(RealVal(0)+(t1-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t1-0.0)/10000.0)],>,7.492048,TRUE
