Formula	Fitness	Satisfied
00: ForAll,0,<=,t1,And,t1,<=,32759916,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3138.542443,Implies,ForAll,0,<=,t2,And,t2,<=,4370558,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.996360	41	Unknown
01: ForAll,0,<=,t1,And,t1,<=,23475820,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3044.971174,Implies,ForAll,0,<=,t2,And,t2,<=,2531012,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35.497210	41	True
02: ForAll,0,<=,t1,And,t1,<=,26663794,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2828.305733,Implies,ForAll,0,<=,t2,And,t2,<=,5774867,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.289315	41	True
03: ForAll,0,<=,t1,And,t1,<=,28497429,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3098.211484,Implies,ForAll,0,<=,t2,And,t2,<=,5091941,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,34.068977	41	Unknown
04: ForAll,0,<=,t1,And,t1,<=,27592864,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3036.723231,Implies,ForAll,0,<=,t2,And,t2,<=,5289846,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,33.515447	41	Unknown
05: ForAll,0,<=,t1,And,t1,<=,37935295,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3016.372876,Implies,ForAll,0,<=,t2,And,t2,<=,3679031,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,31.449191	41	Unknown
06: ForAll,0,<=,t1,And,t1,<=,33743981,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2900.789169,Implies,ForAll,0,<=,t2,And,t2,<=,5955775,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,31.353188	41	True
07: ForAll,0,<=,t1,And,t1,<=,31852036,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2816.976585,Implies,ForAll,0,<=,t2,And,t2,<=,5242799,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,38.441048	41	True
08: ForAll,0,<=,t1,And,t1,<=,21003380,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2979.122523,Implies,ForAll,0,<=,t2,And,t2,<=,5563316,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35.032794	41	Unknown
09: ForAll,0,<=,t1,And,t1,<=,30498141,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2992.933622,Implies,ForAll,0,<=,t2,And,t2,<=,3567503,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,33.488315	41	Unknown
10: ForAll,0,<=,t1,And,t1,<=,28714527,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2920.850790,Implies,ForAll,0,<=,t2,And,t2,<=,4593172,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,37.924230	41	True
11: ForAll,0,<=,t1,And,t1,<=,36658024,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2903.137557,Implies,ForAll,0,<=,t2,And,t2,<=,5576321,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,39.099889	41	True
