Formula	Fitness	Satisfied
00: ForAll,35191263,<=,t,And,t,<=,93685776,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,45.291707	39	True
01: ForAll,22348791,<=,t,And,t,<=,58274822,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,30.178768	39	False
02: ForAll,47335670,<=,t,And,t,<=,61468757,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,31.399173	39	True
03: ForAll,4456031,<=,t,And,t,<=,84832987,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,43.044397	39	True
04: ForAll,48015604,<=,t,And,t,<=,73749157,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,42.709896	39	True
05: ForAll,13424360,<=,t,And,t,<=,76059843,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,44.906700	39	True
06: ForAll,14345701,<=,t,And,t,<=,95706782,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,44.233017	39	True
07: ForAll,32333463,<=,t,And,t,<=,59672901,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,36.872627	39	True
08: ForAll,7599311,<=,t,And,t,<=,92105576,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,32.484929	39	False
09: ForAll,5576969,<=,t,And,t,<=,81638847,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,33.219113	39	False
10: ForAll,28749882,<=,t,And,t,<=,58274529,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,38.494521	39	True
11: ForAll,47383854,<=,t,And,t,<=,79207366,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,46.245687	39	True
12: ForAll,38108339,<=,t,And,t,<=,74658164,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,32.085788	39	True
13: ForAll,10568722,<=,t,And,t,<=,53623994,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,39.919334	39	False
14: ForAll,34526651,<=,t,And,t,<=,64722602,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,32.085217	39	True
15: ForAll,34220051,<=,t,And,t,<=,77655245,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,47.679504	39	True
16: ForAll,35795711,<=,t,And,t,<=,98455723,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,37.037690	39	True
17: ForAll,19119700,<=,t,And,t,<=,60000873,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,40.930837	39	False
18: ForAll,35170953,<=,t,And,t,<=,90925222,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,45.888606	39	True
19: ForAll,37901928,<=,t,And,t,<=,71568294,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,30.757387	39	True
20: ForAll,19988272,<=,t,And,t,<=,66252003,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,36.731039	39	False
21: ForAll,18642353,<=,t,And,t,<=,83645374,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,35.141133	39	False
22: ForAll,12821603,<=,t,And,t,<=,91528775,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,34.409431	39	False
23: ForAll,35042272,<=,t,And,t,<=,76254911,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,47.861227	39	True
24: ForAll,37771327,<=,t,And,t,<=,89233829,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,48.129736	39	True
25: ForAll,31581472,<=,t,And,t,<=,93178107,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,44.691828	39	True
26: ForAll,24209727,<=,t,And,t,<=,77431062,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,43.862019	39	True
27: ForAll,4149126,<=,t,And,t,<=,62667570,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,45.312368	39	True
28: ForAll,5155447,<=,t,And,t,<=,58448780,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,47.510503	39	True
29: ForAll,36785554,<=,t,And,t,<=,74113749,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,46.467182	39	True
30: ForAll,10268033,<=,t,And,t,<=,51875742,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,47.617580	39	True
31: ForAll,48141033,<=,t,And,t,<=,75215098,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,32.898990	39	True
32: ForAll,5973606,<=,t,And,t,<=,86261080,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,48.285109	39	True
33: ForAll,12914594,<=,t,And,t,<=,67033608,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,49.188409	39	True
34: ForAll,35052181,<=,t,And,t,<=,50841992,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,47.249862	39	True
35: ForAll,8939630,<=,t,And,t,<=,69560335,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,36.405270	39	False
36: ForAll,36841546,<=,t,And,t,<=,51490992,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,33.707611	39	True
37: ForAll,7178873,<=,t,And,t,<=,75966413,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,41.284148	39	True
38: ForAll,21552155,<=,t,And,t,<=,56058660,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,43.505947	39	True
39: ForAll,45957148,<=,t,And,t,<=,87977496,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,41.146389	39	True
40: ForAll,15658668,<=,t,And,t,<=,93150747,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,33.260281	39	False
41: ForAll,1613154,<=,t,And,t,<=,63402135,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,47.636552	39	True
