Formula	Fitness	Satisfied
00: ForAll,0,<=,t1,And,t1,<=,32435894,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2808.912592,Implies,ForAll,0,<=,t2,And,t2,<=,11574655,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,51.638353	41	True
01: ForAll,0,<=,t1,And,t1,<=,34781117,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3004.635434,Implies,ForAll,0,<=,t2,And,t2,<=,9635094,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,40.824937	41	True
02: ForAll,0,<=,t1,And,t1,<=,25319787,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3145.537635,Implies,ForAll,0,<=,t2,And,t2,<=,11208442,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,49.515147	41	Unknown
03: ForAll,0,<=,t1,And,t1,<=,27656632,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2815.668269,Implies,ForAll,0,<=,t2,And,t2,<=,5966477,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,45.449539	41	Unknown
04: ForAll,0,<=,t1,And,t1,<=,31981777,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3045.987565,Implies,ForAll,0,<=,t2,And,t2,<=,4525036,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,41.540546	41	True
05: ForAll,0,<=,t1,And,t1,<=,20554994,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3025.587403,Implies,ForAll,0,<=,t2,And,t2,<=,11244379,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,55.956696	41	Unknown
06: ForAll,0,<=,t1,And,t1,<=,20357041,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2861.422242,Implies,ForAll,0,<=,t2,And,t2,<=,4208427,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,48.076700	41	True
07: ForAll,0,<=,t1,And,t1,<=,28351332,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3173.421042,Implies,ForAll,0,<=,t2,And,t2,<=,5372754,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,42.188072	41	Unknown
08: ForAll,0,<=,t1,And,t1,<=,24025673,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2944.898556,Implies,ForAll,0,<=,t2,And,t2,<=,4151798,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,57.986674	41	True
09: ForAll,0,<=,t1,And,t1,<=,20097115,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3012.172990,Implies,ForAll,0,<=,t2,And,t2,<=,10481925,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,41.860596	41	Unknown
10: ForAll,0,<=,t1,And,t1,<=,25559442,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3168.028187,Implies,ForAll,0,<=,t2,And,t2,<=,11541355,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,42.435788	41	Unknown
11: ForAll,0,<=,t1,And,t1,<=,37212716,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2842.310969,Implies,ForAll,0,<=,t2,And,t2,<=,11321771,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,56.452435	41	True
12: ForAll,0,<=,t1,And,t1,<=,32190698,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3156.086939,Implies,ForAll,0,<=,t2,And,t2,<=,6059385,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,50.669712	41	True
