@relation all.2024-05-19_15_30_57.893456


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute NUM0 NUMERIC
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute TERM0 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t2, t1, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)]}
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t2, t1, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)]}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute TERM2 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t2, t1, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)]}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute IMP0 {Implies}
@attribute QUANTIFIERS1 {ForAll, Exists}
@attribute NUM3 NUMERIC
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute TERM3 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t2, t1, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)]}
@attribute LOGICALS1 {And, Or}
@attribute TERM4 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t2, t1, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)]}
@attribute RELATIONALS4 {<, >, <=, >=}
@attribute NUM4 NUMERIC
@attribute TERM5 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t2, t1, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)]}
@attribute RELATIONALS5 {<, >, <=, >=}
@attribute NUM5 NUMERIC
@attribute VEREDICT {TRUE, FALSE, UNKNOWN}

@data
ForAll,0,<=,t1,And,t1,<=,33478915,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2869.580375,Implies,ForAll,0,<=,t2,And,t2,<=,5972614,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,40.776022,TRUE
ForAll,0,<=,t1,And,t1,<=,29640708,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2999.791078,Implies,ForAll,0,<=,t2,And,t2,<=,8141579,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,54.033981,TRUE
ForAll,0,<=,t1,And,t1,<=,28435417,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3084.738007,Implies,ForAll,0,<=,t2,And,t2,<=,9600945,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,58.305553,TRUE
ForAll,0,<=,t1,And,t1,<=,38656007,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2879.836425,Implies,ForAll,0,<=,t2,And,t2,<=,7407461,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,52.681552,TRUE
ForAll,0,<=,t1,And,t1,<=,32727024,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2931.161735,Implies,ForAll,0,<=,t2,And,t2,<=,4018123,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,58.998413,TRUE
ForAll,0,<=,t1,And,t1,<=,23976841,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3144.086624,Implies,ForAll,0,<=,t2,And,t2,<=,9722835,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,57.423660,TRUE
ForAll,0,<=,t1,And,t1,<=,28821150,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3181.147651,Implies,ForAll,0,<=,t2,And,t2,<=,4926773,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,49.077989,TRUE
ForAll,0,<=,t1,And,t1,<=,35525593,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2926.350870,Implies,ForAll,0,<=,t2,And,t2,<=,5010889,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,57.199797,TRUE
ForAll,0,<=,t1,And,t1,<=,25061120,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2902.948867,Implies,ForAll,0,<=,t2,And,t2,<=,4439229,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,52.454742,TRUE
ForAll,0,<=,t1,And,t1,<=,30395791,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2856.950306,Implies,ForAll,0,<=,t2,And,t2,<=,5948086,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,53.526491,TRUE
ForAll,0,<=,t1,And,t1,<=,34956385,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2918.334899,Implies,ForAll,0,<=,t2,And,t2,<=,9964317,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,57.630701,TRUE
ForAll,0,<=,t1,And,t1,<=,24014689,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2898.177147,Implies,ForAll,0,<=,t2,And,t2,<=,5643834,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,50.911324,TRUE
ForAll,0,<=,t1,And,t1,<=,37382127,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3074.535735,Implies,ForAll,0,<=,t2,And,t2,<=,6211314,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,59.983102,TRUE
ForAll,0,<=,t1,And,t1,<=,37915243,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3119.344346,Implies,ForAll,0,<=,t2,And,t2,<=,9101654,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,58.416240,TRUE
ForAll,0,<=,t1,And,t1,<=,39814719,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2984.364768,Implies,ForAll,0,<=,t2,And,t2,<=,11106022,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,44.196030,TRUE
ForAll,0,<=,t1,And,t1,<=,31004642,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2819.567364,Implies,ForAll,0,<=,t2,And,t2,<=,7199271,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,50.750813,TRUE
ForAll,0,<=,t1,And,t1,<=,24670180,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3131.216039,Implies,ForAll,0,<=,t2,And,t2,<=,6441688,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,49.326598,TRUE
ForAll,0,<=,t1,And,t1,<=,30549498,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3041.635621,Implies,ForAll,0,<=,t2,And,t2,<=,6603570,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,57.407845,TRUE
ForAll,0,<=,t1,And,t1,<=,31289521,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2835.809878,Implies,ForAll,0,<=,t2,And,t2,<=,7619640,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,45.507841,TRUE
ForAll,0,<=,t1,And,t1,<=,29193401,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3012.621869,Implies,ForAll,0,<=,t2,And,t2,<=,11856634,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,59.071301,TRUE
ForAll,0,<=,t1,And,t1,<=,37434323,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3154.526334,Implies,ForAll,0,<=,t2,And,t2,<=,11838471,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,50.019980,TRUE
ForAll,0,<=,t1,And,t1,<=,33848474,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2887.466144,Implies,ForAll,0,<=,t2,And,t2,<=,6803882,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,52.367662,TRUE
ForAll,0,<=,t1,And,t1,<=,35095959,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2865.412817,Implies,ForAll,0,<=,t2,And,t2,<=,8360119,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,56.084420,TRUE
ForAll,0,<=,t1,And,t1,<=,33251237,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2847.412564,Implies,ForAll,0,<=,t2,And,t2,<=,8242170,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,45.389159,TRUE
ForAll,0,<=,t1,And,t1,<=,38882520,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2941.046489,Implies,ForAll,0,<=,t2,And,t2,<=,9667825,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,44.397477,TRUE
ForAll,0,<=,t1,And,t1,<=,34888970,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2840.169655,Implies,ForAll,0,<=,t2,And,t2,<=,10301650,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,56.263875,TRUE
