Formula	Fitness	Satisfied
00: ForAll,0,<=,t1,And,t1,<=,33770133,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3068.627985,Implies,ForAll,0,<=,t2,And,t2,<=,23489153,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,76.179580	41	True
01: ForAll,0,<=,t1,And,t1,<=,39571655,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3123.541194,Implies,ForAll,0,<=,t2,And,t2,<=,21441606,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,60.701742	41	True
02: ForAll,0,<=,t1,And,t1,<=,25483618,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2911.606482,Implies,ForAll,0,<=,t2,And,t2,<=,15279569,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,74.104041	41	True
03: ForAll,0,<=,t1,And,t1,<=,33440984,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3162.113966,Implies,ForAll,0,<=,t2,And,t2,<=,21920149,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,63.214473	41	Unknown
04: ForAll,0,<=,t1,And,t1,<=,37690632,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3078.867334,Implies,ForAll,0,<=,t2,And,t2,<=,24334565,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,65.006860	41	True
05: ForAll,0,<=,t1,And,t1,<=,32110238,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2927.357245,Implies,ForAll,0,<=,t2,And,t2,<=,17016229,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,73.340661	41	True
06: ForAll,0,<=,t1,And,t1,<=,25096887,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2910.254751,Implies,ForAll,0,<=,t2,And,t2,<=,22361929,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,64.356357	41	True
07: ForAll,0,<=,t1,And,t1,<=,26416800,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2923.701662,Implies,ForAll,0,<=,t2,And,t2,<=,18822011,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,77.132738	41	True
08: ForAll,0,<=,t1,And,t1,<=,29001901,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3029.990429,Implies,ForAll,0,<=,t2,And,t2,<=,21596356,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,74.897631	41	True
09: ForAll,0,<=,t1,And,t1,<=,39864378,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2850.948735,Implies,ForAll,0,<=,t2,And,t2,<=,21048818,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,66.764360	41	True
10: ForAll,0,<=,t1,And,t1,<=,24973948,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2837.861033,Implies,ForAll,0,<=,t2,And,t2,<=,21624531,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,77.359562	41	True
11: ForAll,0,<=,t1,And,t1,<=,20171844,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2861.490404,Implies,ForAll,0,<=,t2,And,t2,<=,23622849,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,74.221188	41	True
