Formula	Fitness	Satisfied
00: ForAll,6162991,<=,t,And,t,<=,29680550,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,125.762376	35	False
01: ForAll,5162452,<=,t,And,t,<=,29194545,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,137.865048	35	True
02: ForAll,1836954,<=,t,And,t,<=,28816426,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,131.994934	35	False
03: ForAll,1776257,<=,t,And,t,<=,20314767,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,120.090445	35	False
04: ForAll,4117413,<=,t,And,t,<=,15086474,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,120.034810	35	True
05: ForAll,4908006,<=,t,And,t,<=,27645189,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,131.628733	35	True
06: ForAll,1483745,<=,t,And,t,<=,20541464,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,122.154004	35	True
07: ForAll,4050543,<=,t,And,t,<=,16031313,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,103.286956	35	False
08: ForAll,1381501,<=,t,And,t,<=,29114236,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,118.473314	35	False
09: ForAll,8144771,<=,t,And,t,<=,12752470,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,130.345633	35	True
10: ForAll,903451,<=,t,And,t,<=,24195364,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,110.023856	35	False
11: ForAll,7996995,<=,t,And,t,<=,13598098,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,105.765096	35	True
12: ForAll,473630,<=,t,And,t,<=,19188604,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,112.519767	35	False
13: ForAll,4374486,<=,t,And,t,<=,14721809,v_speed[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,132.930203	35	True
