@relation all.2024-05-19_15_30_57.935386


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute NUM0 NUMERIC
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute TERM0 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute TERM2 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute IMP0 {Implies}
@attribute QUANTIFIERS1 {ForAll, Exists}
@attribute NUM3 NUMERIC
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute TERM3 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute LOGICALS1 {And, Or}
@attribute TERM4 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS4 {<, >, <=, >=}
@attribute NUM4 NUMERIC
@attribute TERM5 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS5 {<, >, <=, >=}
@attribute NUM5 NUMERIC
@attribute LOGICALS2 {And, Or}
@attribute QUANTIFIERS2 {ForAll, Exists}
@attribute NUM6 NUMERIC
@attribute RELATIONALS6 {<, >, <=, >=}
@attribute TERM6 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute LOGICALS3 {And, Or}
@attribute TERM7 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS7 {<, >, <=, >=}
@attribute NUM7 NUMERIC
@attribute TERM8 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS8 {<, >, <=, >=}
@attribute NUM8 NUMERIC
@attribute IMP1 {Implies}
@attribute QUANTIFIERS3 {ForAll, Exists}
@attribute NUM9 NUMERIC
@attribute RELATIONALS9 {<, >, <=, >=}
@attribute TERM9 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute LOGICALS4 {And, Or}
@attribute TERM10 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS10 {<, >, <=, >=}
@attribute NUM10 NUMERIC
@attribute TERM11 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS11 {<, >, <=, >=}
@attribute NUM11 NUMERIC
@attribute LOGICALS5 {And, Or}
@attribute QUANTIFIERS4 {ForAll, Exists}
@attribute NUM12 NUMERIC
@attribute RELATIONALS12 {<, >, <=, >=}
@attribute TERM12 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute LOGICALS6 {And, Or}
@attribute TERM13 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS13 {<, >, <=, >=}
@attribute NUM13 NUMERIC
@attribute TERM14 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS14 {<, >, <=, >=}
@attribute NUM14 NUMERIC
@attribute IMP2 {Implies}
@attribute QUANTIFIERS5 {ForAll, Exists}
@attribute NUM15 NUMERIC
@attribute RELATIONALS15 {<, >, <=, >=}
@attribute TERM15 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute LOGICALS7 {And, Or}
@attribute TERM16 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS16 {<, >, <=, >=}
@attribute NUM16 NUMERIC
@attribute TERM17 {t5, e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], t1, t4, t6, v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)], t3, t2, e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)], e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)]}
@attribute RELATIONALS17 {<, >, <=, >=}
@attribute NUM17 NUMERIC
@attribute VEREDICT {TRUE, FALSE, UNKNOWN}

@data
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,31026317,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2856.333478,Implies,ForAll,0,<=,t6,And,t6,<=,19001921,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,58.783431,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,35464900,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2931.674159,Implies,ForAll,0,<=,t6,And,t6,<=,16708015,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,78.372556,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,26661891,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2969.023971,Implies,ForAll,0,<=,t6,And,t6,<=,19429889,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,76.494318,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,31563132,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,3077.109001,Implies,ForAll,0,<=,t6,And,t6,<=,20839318,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,77.134583,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,25418174,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2901.153177,Implies,ForAll,0,<=,t6,And,t6,<=,24027660,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,51.797409,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,22256469,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,3185.533757,Implies,ForAll,0,<=,t6,And,t6,<=,22232190,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,74.355848,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,30377145,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2810.005604,Implies,ForAll,0,<=,t6,And,t6,<=,18191939,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,65.019985,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,29552796,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2935.302456,Implies,ForAll,0,<=,t6,And,t6,<=,23326899,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,50.091673,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,32002007,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2804.260623,Implies,ForAll,0,<=,t6,And,t6,<=,18749364,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,68.184315,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,24027471,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2950.832718,Implies,ForAll,0,<=,t6,And,t6,<=,18652854,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,77.276087,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,39616672,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,3144.919158,Implies,ForAll,0,<=,t6,And,t6,<=,20874972,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,51.190144,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,36554564,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2921.621503,Implies,ForAll,0,<=,t6,And,t6,<=,17176302,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,55.144366,TRUE
ForAll,0,<=,t1,And,t1,<=,30000000,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t2,And,t2,<=,4000000,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,35,And,ForAll,0,<=,t3,And,t3,<=,30000000,e_speed[ToInt(RealVal(0)+(t3-0.0)/10000.0)],<,3000,Implies,ForAll,0,<=,t4,And,t4,<=,8000000,v_speed[ToInt(RealVal(0)+(t4-0.0)/10000.0)],<,50,And,ForAll,0,<=,t5,And,t5,<=,26111110,e_speed[ToInt(RealVal(0)+(t5-0.0)/10000.0)],<,2899.965796,Implies,ForAll,0,<=,t6,And,t6,<=,20263143,v_speed[ToInt(RealVal(0)+(t6-0.0)/10000.0)],<,73.339067,TRUE
