Formula	Fitness	Satisfied
00: ForAll,46099875,<=,t,And,t,<=,81123621,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,35.688293	39	True
01: ForAll,26460848,<=,t,And,t,<=,67888869,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,31.766764	39	True
02: ForAll,38731378,<=,t,And,t,<=,91935200,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,31.299414	39	True
03: ForAll,32914553,<=,t,And,t,<=,73951282,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,38.164986	39	True
04: ForAll,27692350,<=,t,And,t,<=,69246333,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,38.769248	39	True
05: ForAll,3474210,<=,t,And,t,<=,67490976,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,35.259432	39	False
06: ForAll,14426918,<=,t,And,t,<=,81855546,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,48.961225	39	True
07: ForAll,11401888,<=,t,And,t,<=,67254408,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,36.327737	39	False
08: ForAll,42967622,<=,t,And,t,<=,52208338,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,48.309387	39	True
09: ForAll,26486109,<=,t,And,t,<=,50835852,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,45.309269	39	True
10: ForAll,25022583,<=,t,And,t,<=,89791120,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,39.498940	39	True
11: ForAll,14564862,<=,t,And,t,<=,70455521,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,42.575415	39	True
12: ForAll,42723081,<=,t,And,t,<=,97306377,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,45.570817	39	True
13: ForAll,12510036,<=,t,And,t,<=,98757832,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,42.830639	39	True
14: ForAll,19782800,<=,t,And,t,<=,73937619,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,31.367665	39	False
15: ForAll,1859556,<=,t,And,t,<=,80863456,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,32.435753	39	False
16: ForAll,30056078,<=,t,And,t,<=,87965618,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,46.821982	39	True
17: ForAll,7357936,<=,t,And,t,<=,51765099,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,47.242430	39	True
18: ForAll,43867011,<=,t,And,t,<=,93050062,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,31.458552	39	True
19: ForAll,46941152,<=,t,And,t,<=,55557830,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,35.326262	39	True
20: ForAll,29582775,<=,t,And,t,<=,59641724,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,35.378172	39	True
21: ForAll,16018183,<=,t,And,t,<=,76194105,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,43.548722	39	True
22: ForAll,37408347,<=,t,And,t,<=,77017435,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,32.464292	39	True
23: ForAll,28810765,<=,t,And,t,<=,62757341,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,43.869777	39	True
24: ForAll,43141173,<=,t,And,t,<=,87374738,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,46.374281	39	True
25: ForAll,41518206,<=,t,And,t,<=,81756378,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,35.989506	39	True
26: ForAll,30569737,<=,t,And,t,<=,56096043,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,31.136382	39	True
27: ForAll,1726801,<=,t,And,t,<=,66958633,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,38.698887	39	False
28: ForAll,17347400,<=,t,And,t,<=,96633848,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,45.247112	39	True
29: ForAll,14963073,<=,t,And,t,<=,62305601,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,39.182457	39	False
30: ForAll,9712578,<=,t,And,t,<=,66287799,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,35.395811	39	False
31: ForAll,19182388,<=,t,And,t,<=,88149183,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,32.098595	39	False
32: ForAll,40507871,<=,t,And,t,<=,84024755,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,44.466993	39	True
33: ForAll,28481396,<=,t,And,t,<=,69564101,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,30.489015	39	True
34: ForAll,15059793,<=,t,And,t,<=,77978181,y5[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,43.615530	39	True
