Formula	Fitness	Satisfied
00: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,5.694951,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.023425	42	False
01: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,6.280692,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.002904	42	True
02: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,6.707725,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.024554	42	False
03: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,6.013581,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.007769	42	False
04: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,6.616740,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.005310	42	True
05: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,5.262057,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.002836	42	False
06: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,6.673701,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.013091	42	False
07: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,6.040545,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.006896	42	False
08: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,5.528889,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.001877	42	True
09: ForAll,t,>,0,And,t,<,15930000,des_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],-,cur_x[ToInt(RealVal(0)+(t-0.0)/10000.0)],<,5.838188,And,d2obs[ToInt(RealVal(0)+(t-0.0)/10000.0)],>,0.013164	42	False
