Formula	Fitness	Satisfied
00: ForAll,0,<=,t1,And,t1,<=,27192722,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2978.619942,Implies,ForAll,0,<=,t2,And,t2,<=,5492819,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,59.141093	41	True
01: ForAll,0,<=,t1,And,t1,<=,30373469,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3179.636458,Implies,ForAll,0,<=,t2,And,t2,<=,11229840,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,57.653515	41	True
02: ForAll,0,<=,t1,And,t1,<=,35146939,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2917.232336,Implies,ForAll,0,<=,t2,And,t2,<=,4846649,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,44.115063	41	True
03: ForAll,0,<=,t1,And,t1,<=,23209957,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3195.862792,Implies,ForAll,0,<=,t2,And,t2,<=,11912296,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,49.265512	41	Unknown
04: ForAll,0,<=,t1,And,t1,<=,23827113,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3165.971924,Implies,ForAll,0,<=,t2,And,t2,<=,4574436,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,53.593604	41	True
05: ForAll,0,<=,t1,And,t1,<=,35695740,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3145.171667,Implies,ForAll,0,<=,t2,And,t2,<=,4873576,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,52.076321	41	True
06: ForAll,0,<=,t1,And,t1,<=,34645579,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2963.715362,Implies,ForAll,0,<=,t2,And,t2,<=,4261267,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,46.508778	41	True
07: ForAll,0,<=,t1,And,t1,<=,38666813,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2878.961284,Implies,ForAll,0,<=,t2,And,t2,<=,9138454,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,47.016684	41	True
08: ForAll,0,<=,t1,And,t1,<=,25273431,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3011.626679,Implies,ForAll,0,<=,t2,And,t2,<=,5268835,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,45.583458	41	True
09: ForAll,0,<=,t1,And,t1,<=,27123830,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2938.250785,Implies,ForAll,0,<=,t2,And,t2,<=,6566920,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,55.876208	41	True
10: ForAll,0,<=,t1,And,t1,<=,29154743,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3104.345278,Implies,ForAll,0,<=,t2,And,t2,<=,4440992,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,58.285638	41	True
11: ForAll,0,<=,t1,And,t1,<=,21918863,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2917.264586,Implies,ForAll,0,<=,t2,And,t2,<=,9508831,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,49.596202	41	Unknown
12: ForAll,0,<=,t1,And,t1,<=,37819037,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2847.471929,Implies,ForAll,0,<=,t2,And,t2,<=,11789486,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,41.777120	41	True
13: ForAll,0,<=,t1,And,t1,<=,35583150,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3077.635942,Implies,ForAll,0,<=,t2,And,t2,<=,10227629,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,47.744709	41	True
14: ForAll,0,<=,t1,And,t1,<=,24721569,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2992.313291,Implies,ForAll,0,<=,t2,And,t2,<=,4799080,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,53.623345	41	True
15: ForAll,0,<=,t1,And,t1,<=,39109303,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2836.923741,Implies,ForAll,0,<=,t2,And,t2,<=,4390060,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,53.455357	41	True
16: ForAll,0,<=,t1,And,t1,<=,23641941,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2803.353751,Implies,ForAll,0,<=,t2,And,t2,<=,6108531,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,45.393596	41	Unknown
17: ForAll,0,<=,t1,And,t1,<=,35607025,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3064.185806,Implies,ForAll,0,<=,t2,And,t2,<=,5401336,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,56.496207	41	True
18: ForAll,0,<=,t1,And,t1,<=,33488884,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2810.774674,Implies,ForAll,0,<=,t2,And,t2,<=,7811708,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,43.190135	41	True
19: ForAll,0,<=,t1,And,t1,<=,23919205,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3125.454916,Implies,ForAll,0,<=,t2,And,t2,<=,9540401,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,47.318331	41	Unknown
20: ForAll,0,<=,t1,And,t1,<=,34151363,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2843.319449,Implies,ForAll,0,<=,t2,And,t2,<=,9307524,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,47.368888	41	True
21: ForAll,0,<=,t1,And,t1,<=,20616488,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2803.085753,Implies,ForAll,0,<=,t2,And,t2,<=,11229028,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,54.676980	41	Unknown
22: ForAll,0,<=,t1,And,t1,<=,28508045,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3139.947759,Implies,ForAll,0,<=,t2,And,t2,<=,4490811,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,41.158869	41	True
23: ForAll,0,<=,t1,And,t1,<=,27560995,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3089.451258,Implies,ForAll,0,<=,t2,And,t2,<=,7022287,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,43.901016	41	Unknown
24: ForAll,0,<=,t1,And,t1,<=,24743502,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2892.101295,Implies,ForAll,0,<=,t2,And,t2,<=,7969837,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,44.529875	41	Unknown
25: ForAll,0,<=,t1,And,t1,<=,33915001,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3109.622233,Implies,ForAll,0,<=,t2,And,t2,<=,11240965,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,49.084605	41	Unknown
26: ForAll,0,<=,t1,And,t1,<=,34245336,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2933.292046,Implies,ForAll,0,<=,t2,And,t2,<=,7261515,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,54.538897	41	True
27: ForAll,0,<=,t1,And,t1,<=,29195993,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3156.217452,Implies,ForAll,0,<=,t2,And,t2,<=,5588469,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,53.178853	41	True
28: ForAll,0,<=,t1,And,t1,<=,21815932,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2801.952289,Implies,ForAll,0,<=,t2,And,t2,<=,8540468,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,59.234177	41	True
29: ForAll,0,<=,t1,And,t1,<=,20020694,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3110.027835,Implies,ForAll,0,<=,t2,And,t2,<=,7740462,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,54.450142	41	True
