@relation all.2024-05-19_15_30_57.902158


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute NUM0 NUMERIC
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute TERM0 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t2, t1}
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t2, t1}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute TERM2 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t2, t1}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute IMP0 {Implies}
@attribute QUANTIFIERS1 {ForAll, Exists}
@attribute NUM3 NUMERIC
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute TERM3 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t2, t1}
@attribute LOGICALS1 {And, Or}
@attribute TERM4 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t2, t1}
@attribute RELATIONALS4 {<, >, <=, >=}
@attribute NUM4 NUMERIC
@attribute TERM5 {e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)], v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t2, t1}
@attribute RELATIONALS5 {<, >, <=, >=}
@attribute NUM5 NUMERIC
@attribute VEREDICT {TRUE, FALSE, UNKNOWN}

@data
ForAll,0,<=,t1,And,t1,<=,33770133,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3068.627985,Implies,ForAll,0,<=,t2,And,t2,<=,23489153,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,76.179580,TRUE
ForAll,0,<=,t1,And,t1,<=,39571655,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3123.541194,Implies,ForAll,0,<=,t2,And,t2,<=,21441606,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,60.701742,TRUE
ForAll,0,<=,t1,And,t1,<=,25483618,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2911.606482,Implies,ForAll,0,<=,t2,And,t2,<=,15279569,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,74.104041,TRUE
ForAll,0,<=,t1,And,t1,<=,37690632,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3078.867334,Implies,ForAll,0,<=,t2,And,t2,<=,24334565,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,65.006860,TRUE
ForAll,0,<=,t1,And,t1,<=,32110238,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2927.357245,Implies,ForAll,0,<=,t2,And,t2,<=,17016229,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,73.340661,TRUE
ForAll,0,<=,t1,And,t1,<=,25096887,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2910.254751,Implies,ForAll,0,<=,t2,And,t2,<=,22361929,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,64.356357,TRUE
ForAll,0,<=,t1,And,t1,<=,26416800,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2923.701662,Implies,ForAll,0,<=,t2,And,t2,<=,18822011,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,77.132738,TRUE
ForAll,0,<=,t1,And,t1,<=,29001901,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,3029.990429,Implies,ForAll,0,<=,t2,And,t2,<=,21596356,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,74.897631,TRUE
ForAll,0,<=,t1,And,t1,<=,39864378,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2850.948735,Implies,ForAll,0,<=,t2,And,t2,<=,21048818,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,66.764360,TRUE
ForAll,0,<=,t1,And,t1,<=,24973948,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2837.861033,Implies,ForAll,0,<=,t2,And,t2,<=,21624531,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,77.359562,TRUE
ForAll,0,<=,t1,And,t1,<=,20171844,e_speed[ToInt(RealVal(0)+(t1-0.0)/10000.0)],<,2861.490404,Implies,ForAll,0,<=,t2,And,t2,<=,23622849,v_speed[ToInt(RealVal(0)+(t2-0.0)/10000.0)],<,74.221188,TRUE
