@relation all.2024-05-26_09_58_30.382521


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute NUM0 NUMERIC
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute TERM0 {t2, y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1}
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {t2, y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute QUANTIFIERS1 {ForAll, Exists}
@attribute TERM2 {t2, y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1}
@attribute ARITHMETICS0 {+, -, *, /}
@attribute NUM2 NUMERIC
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute TERM3 {t2, y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1}
@attribute LOGICALS1 {And, Or}
@attribute TERM4 {t2, y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1}
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute TERM5 {t2, y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1}
@attribute ARITHMETICS1 {+, -, *, /}
@attribute NUM3 NUMERIC
@attribute TERM6 {t2, y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1}
@attribute ARITHMETICS2 {+, -, *, /}
@attribute TERM7 {t2, y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)], y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)], t1}
@attribute RELATIONALS4 {<, >, <=, >=}
@attribute NUM4 NUMERIC
@attribute VEREDICT {TRUE, FALSE, UNKNOWN}

@data
ForAll,14810677,<=,t1,And,t1,<=,70000000,Exists,t1,+,1816574,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,12.891912,TRUE
ForAll,2562039,<=,t1,And,t1,<=,70000000,Exists,t1,+,2125147,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,12.292574,TRUE
ForAll,9101062,<=,t1,And,t1,<=,70000000,Exists,t1,+,7448706,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,12.955308,TRUE
ForAll,5888333,<=,t1,And,t1,<=,70000000,Exists,t1,+,9301527,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,13.317431,TRUE
ForAll,5391232,<=,t1,And,t1,<=,70000000,Exists,t1,+,1470983,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,12.845692,TRUE
ForAll,9628218,<=,t1,And,t1,<=,70000000,Exists,t1,+,2764964,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,13.609959,TRUE
ForAll,14043261,<=,t1,And,t1,<=,70000000,Exists,t1,+,8182269,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,14.538025,TRUE
ForAll,14567258,<=,t1,And,t1,<=,70000000,Exists,t1,+,162142,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,12.585116,TRUE
ForAll,9966222,<=,t1,And,t1,<=,70000000,Exists,t1,+,5242262,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,14.716172,TRUE
ForAll,9712829,<=,t1,And,t1,<=,70000000,Exists,t1,+,2112888,<=,t2,And,t2,<=,t1,+,30000000,y5[ToInt(RealVal(0)+(t2-0.0)/10000.0)],-,y4[ToInt(RealVal(0)+(t2-0.0)/10000.0)],>,14.835226,TRUE
