Formula	Fitness	Satisfied
HC: ForAll,Int('t'),>=,0,And,Int('t'),<=,12,distance[t],<,6.092644,Implies,brake[t],==,1.075810	73	True
00: ForAll,Int('t'),>=,0,And,Int('t'),<=,15,distance[t],<,7.309538,Implies,brake[t],==,0.709664	73	False
01: ForAll,Int('t'),>=,0,And,Int('t'),<=,11,distance[t],<,6.724554,Implies,brake[t],==,0.868315	73	False
02: ForAll,Int('t'),>=,0,And,Int('t'),<=,30,distance[t],<,6.568131,Implies,brake[t],==,0.918278	73	False
03: ForAll,Int('t'),>=,0,And,Int('t'),<=,16,distance[t],<,6.940007,Implies,brake[t],==,1.298527	73	False
04: ForAll,Int('t'),>=,0,And,Int('t'),<=,14,distance[t],<,6.287252,Implies,brake[t],==,0.908247	73	True
05: ForAll,Int('t'),>=,0,And,Int('t'),<=,15,distance[t],<,6.163932,Implies,brake[t],==,1.082426	73	True
06: ForAll,Int('t'),>=,0,And,Int('t'),<=,16,distance[t],<,7.321062,Implies,brake[t],==,0.985145	73	False
07: ForAll,Int('t'),>=,0,And,Int('t'),<=,23,distance[t],<,6.441805,Implies,brake[t],==,1.182654	73	False
08: ForAll,Int('t'),>=,0,And,Int('t'),<=,12,distance[t],<,6.316934,Implies,brake[t],==,1.280180	73	True
09: ForAll,Int('t'),>=,0,And,Int('t'),<=,11,distance[t],<,7.201824,Implies,brake[t],==,1.150416	73	False
10: ForAll,Int('t'),>=,0,And,Int('t'),<=,17,distance[t],<,6.468519,Implies,brake[t],==,1.165335	73	False
11: ForAll,Int('t'),>=,0,And,Int('t'),<=,24,distance[t],<,6.393327,Implies,brake[t],==,0.876896	73	False
12: ForAll,Int('t'),>=,0,And,Int('t'),<=,24,distance[t],<,7.716785,Implies,brake[t],==,0.791866	73	False
13: ForAll,Int('t'),>=,0,And,Int('t'),<=,27,distance[t],<,7.884227,Implies,brake[t],==,0.908835	73	False
14: ForAll,Int('t'),>=,0,And,Int('t'),<=,28,distance[t],<,6.643497,Implies,brake[t],==,1.209950	73	False
15: ForAll,Int('t'),>=,0,And,Int('t'),<=,10,distance[t],<,7.505208,Implies,brake[t],==,1.114435	73	False
16: ForAll,Int('t'),>=,0,And,Int('t'),<=,18,distance[t],<,6.774746,Implies,brake[t],==,1.199627	73	False
17: ForAll,Int('t'),>=,0,And,Int('t'),<=,15,distance[t],<,6.060081,Implies,brake[t],==,1.202860	73	True
18: ForAll,Int('t'),>=,0,And,Int('t'),<=,29,distance[t],<,7.758915,Implies,brake[t],==,0.834066	73	False
19: ForAll,Int('t'),>=,0,And,Int('t'),<=,18,distance[t],<,7.586276,Implies,brake[t],==,1.158209	73	False
20: ForAll,Int('t'),>=,0,And,Int('t'),<=,25,distance[t],<,6.021291,Implies,brake[t],==,0.806673	73	False
21: ForAll,Int('t'),>=,0,And,Int('t'),<=,12,distance[t],<,6.673216,Implies,brake[t],==,0.727313	73	False
22: ForAll,Int('t'),>=,0,And,Int('t'),<=,19,distance[t],<,6.185584,Implies,brake[t],==,1.018537	73	False
23: ForAll,Int('t'),>=,0,And,Int('t'),<=,28,distance[t],<,6.065762,Implies,brake[t],==,1.252040	73	False
24: ForAll,Int('t'),>=,0,And,Int('t'),<=,10,distance[t],<,7.128283,Implies,brake[t],==,0.700413	73	False
25: ForAll,Int('t'),>=,0,And,Int('t'),<=,25,distance[t],<,7.507838,Implies,brake[t],==,1.026408	73	False
26: ForAll,Int('t'),>=,0,And,Int('t'),<=,27,distance[t],<,7.242639,Implies,brake[t],==,0.981094	73	False
27: ForAll,Int('t'),>=,0,And,Int('t'),<=,25,distance[t],<,6.697178,Implies,brake[t],==,0.714682	73	False
28: ForAll,Int('t'),>=,0,And,Int('t'),<=,29,distance[t],<,6.000358,Implies,brake[t],==,0.921628	73	False
29: ForAll,Int('t'),>=,0,And,Int('t'),<=,28,distance[t],<,6.886097,Implies,brake[t],==,1.223287	73	False
30: ForAll,Int('t'),>=,0,And,Int('t'),<=,19,distance[t],<,6.698706,Implies,brake[t],==,1.073840	73	False
31: ForAll,Int('t'),>=,0,And,Int('t'),<=,10,distance[t],<,6.739310,Implies,brake[t],==,1.033136	73	True
32: ForAll,Int('t'),>=,0,And,Int('t'),<=,16,distance[t],<,7.676539,Implies,brake[t],==,0.792252	73	False
33: ForAll,Int('t'),>=,0,And,Int('t'),<=,27,distance[t],<,6.993825,Implies,brake[t],==,0.883792	73	False
34: ForAll,Int('t'),>=,0,And,Int('t'),<=,16,distance[t],<,6.630302,Implies,brake[t],==,1.182638	73	False
35: ForAll,Int('t'),>=,0,And,Int('t'),<=,15,distance[t],<,6.221895,Implies,brake[t],==,0.728927	73	False
36: ForAll,Int('t'),>=,0,And,Int('t'),<=,18,distance[t],<,6.358993,Implies,brake[t],==,1.042903	73	False
37: ForAll,Int('t'),>=,0,And,Int('t'),<=,11,distance[t],<,7.757775,Implies,brake[t],==,0.952584	73	False
38: ForAll,Int('t'),>=,0,And,Int('t'),<=,10,distance[t],<,7.033037,Implies,brake[t],==,0.950564	73	False
39: ForAll,Int('t'),>=,0,And,Int('t'),<=,10,distance[t],<,7.187610,Implies,brake[t],==,0.704857	73	False
40: ForAll,Int('t'),>=,0,And,Int('t'),<=,30,distance[t],<,6.677756,Implies,brake[t],==,1.235357	73	False
