Formula	Fitness	Satisfied
HC: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 996.250934 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -205.404230)	106	True
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 996.250934 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -205.404230)	106	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 443.385129 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -610.585515)	96	False
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 740.152859 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -354.270131)	96	False
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1049.919979 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -988.309134)	96	True
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 786.300188 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -643.180919)	96	False
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 201.559368 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -578.770619)	96	False
06: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 365.129516 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -120.039937)	96	False
07: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 938.437125 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -496.404396)	96	False
08: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 939.311907 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -733.408166)	96	False
