Formula	SW_Score	Satisfied
SEED: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 0.007000 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -0.007000)	-	-
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1041.952289 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -83.786128)	48.0	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1094.590250 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -968.403640)	48.0	True


00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 23.101917 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -281.933751)	48.0	False
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 533.203079 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -665.196335)	48.0	False
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 402.991599 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -25.736015)	48.0	False
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 906.913377 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -335.853986)	48.0	False
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 288.819762 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -272.628461)	48.0	False
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 749.568993 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1026.952360)	48.0	False
