@relation all.2023-03-07_03:14:03.932773


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute TERM0 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute NUM0 NUMERIC
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute IMP0 {Implies}
@attribute TERM2 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute LOGICALS1 {And, Or}
@attribute TERM3 {err[ToInt(RealVal(0)+(t-0.0)/10000.0)], t}
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute NUM3 NUMERIC
@attribute VEREDICT {TRUE, FALSE}

@data
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,1030.114953,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-829.882950,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,200.454016,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-584.917525,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,811.710149,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-747.831512,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,887.016409,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-464.129495,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,735.008518,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-315.724676,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,276.085284,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-614.249000,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,702.665668,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-203.333863,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,293.400063,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-77.425724,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,330.909897,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-564.707077,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,373.116684,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1013.275955,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,793.398030,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-964.128062,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,797.001219,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-152.886166,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,911.094467,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-514.980949,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,64.305615,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-841.774738,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,920.185680,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-163.766825,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,921.546844,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1042.472365,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,586.126035,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-125.825868,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,560.728975,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-785.138329,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,558.688115,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-895.346070,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,880.449500,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-427.733411,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,578.075349,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-23.932794,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,937.952778,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-5.672350,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,405.404774,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-649.707738,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,428.236862,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-540.607782,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,171.599856,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-73.432394,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,654.070727,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-105.446393,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,1062.600681,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-268.711044,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,366.322705,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-45.846313,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,939.202108,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-309.715081,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,673.305074,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-117.709702,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,914.077161,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-395.772748,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,982.631207,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-1004.927208,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,152.747935,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-273.928473,TRUE
