Formula	Fitness	Satisfied
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 479.718985 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -752.595754)	84	False
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 441.444121 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1082.616570)	84	False
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 738.213572 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -137.938638)	84	False
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1.411103 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -486.314699)	84	False
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 710.166237 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -589.272528)	84	False
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 686.380518 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -447.715844)	84	False
06: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 196.376805 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -137.109072)	84	False
07: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 490.541034 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -591.615342)	84	False
08: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 605.993848 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1034.787715)	84	False
09: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 816.305125 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -61.326539)	84	False
