Formula	SW_Score	Satisfied
SEED: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 0.007000 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -0.007000)	-	-
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 831.249651 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1083.443246)	48.0	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 791.620019 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1031.758964)	48.0	True
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 189.721805 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -602.654209)	48.0	True
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 258.916440 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -309.861945)	48.0	True
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 793.889500 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -427.634306)	48.0	True
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 761.310316 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -675.358721)	48.0	True


00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 6.000245 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -72.631388)	48.0	False
