Formula	Fitness	Satisfied
HC: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 306.981161 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -112.233247)	106	True
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 34.180055 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -628.941241)	96	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 856.214443 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -519.463956)	96	True
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 861.966635 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -210.971071)	96	True
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 426.469734 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -723.371174)	96	True
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 246.042339 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -867.497355)	96	True
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 10.428839 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -302.901715)	96	False
06: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 111.259616 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -629.641740)	96	True
07: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 465.821325 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -306.745391)	96	True
08: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 287.167795 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -225.821421)	96	True
09: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 509.646841 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -462.122262)	96	True
10: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1082.448785 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -342.472959)	96	True
11: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1.258190 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -877.792898)	96	False
