Formula	SW_Score	Satisfied
SEED: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 0.007000 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -0.007000)	-	-
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 799.798793 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -832.153980)	48.0	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 520.852082 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -148.183242)	48.0	True
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 393.146979 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -786.391467)	48.0	True
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 703.701211 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -485.339546)	48.0	True
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 508.890172 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -793.414551)	48.0	True
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 893.318280 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -518.679690)	48.0	True


00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 13.926395 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -877.635666)	48.0	False
