Formula	Fitness	Satisfied
HC: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 881.004404 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -615.211304)	106	True
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 223.928082 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -996.998360)	96	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1002.269651 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -515.744254)	96	True
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 885.260720 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -230.341974)	96	True
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 211.417177 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -91.574344)	96	True
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 823.510707 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -90.605610)	96	True
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 989.309717 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -521.945941)	96	True
06: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 859.003294 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -27.559159)	96	True
07: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 741.198077 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -803.011139)	96	True
08: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 203.903333 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -20.746261)	96	True
09: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 784.769087 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -640.926699)	96	True
10: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 755.378191 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -600.764446)	96	True
11: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 113.689616 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -23.007373)	96	True
12: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 993.760271 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -82.521796)	96	True
13: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 536.277300 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -547.009268)	96	True
14: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 107.670417 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1040.872117)	96	True
15: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 552.936157 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1044.663164)	96	True
16: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 496.871003 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -735.897982)	96	True
17: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 190.778715 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -785.991376)	96	True
18: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 892.914988 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1076.732078)	96	True
19: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 532.089715 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -19.398295)	96	True
20: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 967.495783 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -509.753288)	96	True
21: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 982.966727 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -625.406315)	96	True
22: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 111.383020 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -764.275331)	96	True
23: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 173.716075 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -897.263249)	96	True
24: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 28.589892 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -867.562303)	96	True
25: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 868.254487 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -524.840494)	96	True
26: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 466.742564 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -558.768309)	96	True
27: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 80.233415 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -698.794604)	96	True
28: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1008.122731 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -581.363300)	96	True
