Formula	Fitness	Satisfied
HC: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 48.700241 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -616.015348)	106	True
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 954.510091 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -982.328810)	96	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1087.450958 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -359.559347)	96	True
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 177.474990 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -30.486102)	96	True
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1031.058133 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -488.719852)	96	True
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 772.211195 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -191.918477)	96	True
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 22.682624 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -532.178370)	96	False
06: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1092.807274 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -277.099331)	96	True
07: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 415.511557 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -806.343546)	96	True
08: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 612.291860 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -990.279375)	96	True
09: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 252.710861 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -29.610196)	96	True
10: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 185.218671 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -118.700739)	96	True
11: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1062.062780 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -498.047785)	96	True
12: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 738.651565 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1035.144673)	96	True
