@relation all.2023-03-07_02:36:58.410199


@attribute QUANTIFIERS0 {ForAll, Exists}
@attribute TERM0 {t, err[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS0 {<, >, <=, >=}
@attribute NUM0 NUMERIC
@attribute LOGICALS0 {And, Or}
@attribute TERM1 {t, err[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS1 {<, >, <=, >=}
@attribute NUM1 NUMERIC
@attribute IMP0 {Implies}
@attribute TERM2 {t, err[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS2 {<, >, <=, >=}
@attribute NUM2 NUMERIC
@attribute LOGICALS1 {And, Or}
@attribute TERM3 {t, err[ToInt(RealVal(0)+(t-0.0)/10000.0)]}
@attribute RELATIONALS3 {<, >, <=, >=}
@attribute NUM3 NUMERIC
@attribute VEREDICT {TRUE, FALSE}

@data
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,48.700241,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-616.015348,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,77.362600,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-777.677816,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,867.367909,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-388.912623,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,768.767506,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-212.980490,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,138.459670,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-44.791261,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,391.085765,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-105.875755,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,470.532296,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-128.167057,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,183.299045,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-877.253786,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,709.634436,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-712.768074,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,864.785043,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-297.857245,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,836.029223,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-123.630481,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,808.232595,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-665.531036,TRUE
ForAll,t,>,11,And,t,<,50,Implies,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],<=,561.593640,And,err[ToInt(RealVal(0)+(t-0.0)/10000.0)],>=,-86.354211,TRUE
