Formula	SW_Score	Satisfied
SEED: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 0.007000 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -0.007000)	-	-
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 987.933459 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -308.062185)	48.0	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1005.005586 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -922.515499)	48.0	True
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1093.649753 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -382.160109)	48.0	True


00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 345.721056 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -247.622577)	48.0	False
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 934.009241 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -927.176452)	48.0	False
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 313.627946 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -131.539746)	48.0	False
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 545.879785 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -508.043803)	48.0	False
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 931.704208 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -161.265452)	48.0	False
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 737.941889 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -406.082082)	48.0	False
