Formula	Fitness	Satisfied
HC: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1035.968755 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -48.148712)	106	True
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 39.999076 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -84.481106)	96	False
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 160.653117 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -384.997485)	96	False
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 961.967809 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -277.847810)	96	False
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 792.314873 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -825.807510)	96	False
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 174.316745 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -302.718087)	96	False
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 661.031964 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1050.707608)	96	False
06: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 385.357164 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -103.990951)	96	False
07: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 515.183494 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -849.242444)	96	False
08: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 36.274970 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -504.330722)	96	False
