Formula	Fitness	Satisfied
HC: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 437.781956 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -207.098878)	106	True
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 312.740616 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -589.836330)	96	True
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 968.026994 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -732.687445)	96	True
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 151.279933 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -413.530745)	96	True
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1060.296664 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -190.857120)	96	True
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 637.679365 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1031.031737)	96	True
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 698.754725 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -350.936702)	96	True
06: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 879.415314 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -678.522601)	96	True
07: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 552.644492 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -453.786503)	96	True
08: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 424.853316 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -132.048173)	96	True
09: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 463.749237 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -368.227626)	96	True
10: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 171.932575 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -564.439749)	96	True
11: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 436.422859 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -112.586598)	96	True
12: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 91.952182 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -483.709460)	96	True
