Formula	Fitness	Satisfied
HC: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1031.279838 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -341.212122)	106	True
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 964.882916 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -369.782741)	96	False
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 139.714697 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -834.604279)	96	False
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 382.766054 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -125.451101)	96	False
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 36.679361 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -667.671374)	96	False
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 396.752833 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -237.796579)	96	False
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1056.953433 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -541.138535)	96	True
06: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 278.475719 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -784.582146)	96	False
07: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1007.343839 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -120.596128)	96	False
08: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1083.407877 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -182.318403)	96	True
09: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 281.344232 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -55.024854)	96	False
10: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 327.690252 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -717.805549)	96	False
11: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 884.212345 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -959.239375)	96	False
12: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 855.801127 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -950.862738)	96	False
13: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 416.901287 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1052.043826)	96	False
14: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 889.078371 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -442.841602)	96	False
15: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 691.480070 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -189.505596)	96	False
