Formula	SW_Score	Satisfied
SEED: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 0.007000 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -0.007000)	-	-
00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 1065.130061 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1017.488227)	48.0	True


00: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 183.342637 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -308.717872)	48.0	False
01: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 433.725034 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1043.795224)	48.0	False
02: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 336.592647 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -384.940814)	48.0	False
03: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 141.575954 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -719.407581)	48.0	False
04: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 656.594559 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -1087.389624)	48.0	False
05: ForAll t In (t > 11 And t < 50) Implies (err[ToInt(RealVal(0)+(t-0.0)/10000.0)] <= 303.118637 And err[ToInt(RealVal(0)+(t-0.0)/10000.0)] >= -988.324715)	48.0	False
